x,y,Width,Height,Score,Label,Person,Image,ImagePath,,Positive
"2125","557","2315","1050","0.05769","cupcakePaper","Person31","Person31_2","MC2-Image-Data/Person31/Person31_2.jpg","","TRUE"
"1734","1802","3192","1868","0.25158","paperPlate","Person31","Person31_2","MC2-Image-Data/Person31/Person31_2.jpg","","TRUE"
"1702","1402","2066","1807","0.05575","cupcakePaper","Person31","Person31_1","MC2-Image-Data/Person31/Person31_1.jpg","","TRUE"
"1375","2625","2589","2043","0.11151","paperPlate","Person31","Person31_1","MC2-Image-Data/Person31/Person31_1.jpg","","TRUE"
"132","170","150","215","0.82392","stickerBox","Person31","Person31_5","MC2-Image-Data/Person31/Person31_5.jpg","","TRUE"
"1934","1464","3316","2542","0.18273","paperPlate","Person31","Person31_3","MC2-Image-Data/Person31/Person31_3.jpg","","TRUE"
"2483","768","1772","1011","0.21523","cupcakePaper","Person31","Person31_3","MC2-Image-Data/Person31/Person31_3.jpg","","TRUE"
"2356","1559","2708","1862","0.08064","rainbowPens","Person7","Person7_1","MC2-Image-Data/Person7/Person7_1.jpg","","TRUE"
"1770","1600","1692","2346","0.64239","cactusPaper","Person7","Person7_1","MC2-Image-Data/Person7/Person7_1.jpg","","TRUE"
"1357","1712","1710","1091","0.90599","blueSunglasses","Person7","Person7_5","MC2-Image-Data/Person7/Person7_5.jpg","","TRUE"
"2173","1913","322","265","0.85372","brownDie","Person7","Person7_3","MC2-Image-Data/Person7/Person7_3.jpg","","TRUE"
"1229","1504","461","2342","0.13396","canadaPencil","Person7","Person7_12","MC2-Image-Data/Person7/Person7_12.jpg","","TRUE"
"3878","2664","307","718","0.08256","partyFavor","Person7","Person7_15","MC2-Image-Data/Person7/Person7_15.jpg","","FALSE"
"180","1657","360","786","0.08352","partyFavor","Person7","Person7_7","MC2-Image-Data/Person7/Person7_7.jpg","","FALSE"
"2076","2028","2442","1984","0.82426","paperPlate","Person7","Person7_7","MC2-Image-Data/Person7/Person7_7.jpg","","TRUE"
"2679","1509","2234","1773","0.05162","glassBead","Person7","Person7_9","MC2-Image-Data/Person7/Person7_9.jpg","","FALSE"
"2694","1513","2227","1766","0.05939","redWhistle","Person7","Person7_9","MC2-Image-Data/Person7/Person7_9.jpg","","TRUE"
"2124","1593","319","291","0.90224","brownDie","Person7","Person7_16","MC2-Image-Data/Person7/Person7_16.jpg","","TRUE"
"3857","255","339","430","0.07594","birdCall","Person7","Person7_17","MC2-Image-Data/Person7/Person7_17.jpg","","FALSE"
"3851","270","346","440","0.17314","hairClip","Person7","Person7_17","MC2-Image-Data/Person7/Person7_17.jpg","","FALSE"
"3717","1280","606","2561","0.05918","sign","Person7","Person7_14","MC2-Image-Data/Person7/Person7_14.jpg","","TRUE"
"2167","1538","3121","1484","0.13","rainbowPens","Person7","Person7_14","MC2-Image-Data/Person7/Person7_14.jpg","","TRUE"
"2132","1552","3234","1464","0.81652","canadaPencil","Person7","Person7_14","MC2-Image-Data/Person7/Person7_14.jpg","","TRUE"
"3888","1114","288","785","0.22758","partyFavor","Person7","Person7_8","MC2-Image-Data/Person7/Person7_8.jpg","","FALSE"
"1316","1062","1831","777","0.8087","blueSunglasses","Person7","Person7_8","MC2-Image-Data/Person7/Person7_8.jpg","","TRUE"
"1437","1434","1016","2201","0.71537","blueSunglasses","Person7","Person7_2","MC2-Image-Data/Person7/Person7_2.jpg","","TRUE"
"3982","1671","2366","1369","0.163","birdCall","Person40","Person40_6","MC2-Image-Data/Person40/Person40_6.jpg","","FALSE"
"2358","1881","4717","1250","0.05061","pinkEraser","Person40","Person40_9","MC2-Image-Data/Person40/Person40_9.jpg","","TRUE"
"2330","1525","4490","1989","0.42845","noisemaker","Person40","Person40_9","MC2-Image-Data/Person40/Person40_9.jpg","","FALSE"
"143","144","74","105","0.75884","redDart","Person40","Person40_2","MC2-Image-Data/Person40/Person40_2.jpg","","TRUE"
"3923","360","207","473","0.11083","partyFavor","Person6","Person6_29","MC2-Image-Data/Person6/Person6_29.jpg","","FALSE"
"3130","401","304","288","0.19315","partyFavor","Person6","Person6_29","MC2-Image-Data/Person6/Person6_29.jpg","","FALSE"
"1819","1266","139","170","0.27015","lavenderDie","Person6","Person6_29","MC2-Image-Data/Person6/Person6_29.jpg","","FALSE"
"1381","1189","264","263","0.10909","partyFavor","Person6","Person6_7","MC2-Image-Data/Person6/Person6_7.jpg","","FALSE"
"2858","1343","743","483","0.19498","redWhistle","Person6","Person6_22","MC2-Image-Data/Person6/Person6_22.jpg","","TRUE"
"2870","97","352","194","0.19023","lavenderDie","Person6","Person6_8","MC2-Image-Data/Person6/Person6_8.jpg","","FALSE"
"2039","1954","325","502","0.11891","eyeball","Person6","Person6_10","MC2-Image-Data/Person6/Person6_10.jpg","","FALSE"
"1880","1907","761","655","0.06361","yellowBalloon","Person6","Person6_18","MC2-Image-Data/Person6/Person6_18.jpg","","TRUE"
"3002","1511","144","169","0.12929","lavenderDie","Person6","Person6_21","MC2-Image-Data/Person6/Person6_21.jpg","","FALSE"
"2207","1904","237","294","0.26626","lavenderDie","Person6","Person6_27","MC2-Image-Data/Person6/Person6_27.jpg","","FALSE"
"2907","921","392","474","0.67212","lavenderDie","Person6","Person6_23","MC2-Image-Data/Person6/Person6_23.jpg","","TRUE"
"747","253","778","507","0.10498","partyFavor","Person6","Person6_5","MC2-Image-Data/Person6/Person6_5.jpg","","FALSE"
"2676","1155","498","431","0.65995","rubiksCube","Person6","Person6_1","MC2-Image-Data/Person6/Person6_1.jpg","","TRUE"
"2580","1352","960","562","0.17187","partyFavor","Person6","Person6_24","MC2-Image-Data/Person6/Person6_24.jpg","","FALSE"
"1758","1486","1222","647","0.38642","partyFavor","Person6","Person6_24","MC2-Image-Data/Person6/Person6_24.jpg","","FALSE"
"603","479","815","892","0.8988","cowbell","Person38","Person38_8","MC2-Image-Data/Person38/Person38_8.jpg","","TRUE"
"504","501","272","183","0.9467","redWhistle","Person38","Person38_7","MC2-Image-Data/Person38/Person38_7.jpg","","TRUE"
"1152","1287","95","551","0.07412","birdCall","Person38","Person38_9","MC2-Image-Data/Person38/Person38_9.jpg","","FALSE"
"423","429","848","801","0.3592","yellowBag","Person38","Person38_9","MC2-Image-Data/Person38/Person38_9.jpg","","TRUE"
"567","541","780","194","0.73765","rainbowPens","Person38","Person38_1","MC2-Image-Data/Person38/Person38_1.jpg","","TRUE"
